P.1,CGC-CLS-01,USH20,USH20
P.2,CGC-CLS-02,SP85700,SP85700
P.3,CGC-CLS-03,SP85303,SP85303
P.4,CGC-CLS-04,EL45/2,EL45/2
P.5,CGC-CLS-05,EL48,EL48
P.6,CGC-CLS-06,EL42,EL42
P.7,CGC-CLS-07,EL58,EL58
P.8,CGC-CLS-08,EL59,EL59
P.9,CGC-CLS-09,EL61,EL61
P.10,CGC-CLS-10,EL64,EL64
P.11,CGC-CLS-11,SR102,SR102
P.12,CGC-CLS-12,EL-X2,EL-X2
P.13,CGC-CLS-13,EL-X3,EL-X3
P.14,CGC-CLS-14,20121034,FC709-2
P.15,CGC-CLS-15,20141005,FC715
P.16,CGC-CLS-16,1997A050,FC607
P.17,CGC-CLS-17,20081010,FC717
P.18,CGC-CLS-18,20041010HO1,FC712/mono
P.19,CGC-CLS-19,19921025,FC728
P.20,CGC-CLS-20,19951017,FC727
P.21,CGC-CLS-21,20101004,FC708
P.22,CGC-CLS-22,20231008,FC709-3
P.23,CGC-CLS-23,20202519,FC724
P.24,CGC-CLS-24,20202518,FC721
P.25,CGC-CLS-25,20202512,C51
P.26,CGC-CLS-26,20202509,F1002
P.27,CGC-CLS-27,20221009,F1024
P.28,CGC-CLS-28,20202508,US201
P.29,CGC-CLS-29,2013A038,PI 169027 Bvv
P.30,CGC-CLS-30,2013A029,PI 140357 Bvv
Pc.1,,,Pc.1
Pc.2,,,Pc.2
Pc.3,,,Pc.3
Pc.4,,,Pc.4
CS,SX 1278N,,SX 1278N
CR,C-G919,,C-G919
CHR,C-G021,,C-G021
218,EL-A021482,,EL50/2
219,EL-A18-0001,,SR98/2
221,EL-A18-0002,,F1042
228,2000A085,,EL40 - multigerm
229,2005A002,,EL44CMS
230,2013A095,,EL45
231,20231002,,PI518380
232,20231006,,PI546409
