Range,Row,Plot,Entry,Cerc Rating:8/16/23,Cerc Rating:8/21/23,Cerc Rating:8/28/23,Cerc Rating:9/6/23,Rhizoc,PoorStd,Bolt,Miss,Notes
1,1,119,CR,,,,,0,0,0,0,
1,2,120,CHR,,,,,0,0,0,0,
1,3,121,231,,,,,0,0,0,0,
1,4,122,232,,,,,0,0,0,0,
1,5,123,228,,,,,0,0,0,0,
1,6,124,229,,,,,0,0,0,0,
1,7,125,230,,,,,0,0,0,0,
1,8,126,218,,,,,0,0,0,0,
1,9,127,221,,,,,0,0,0,0,
1,10,128,219,,,,,0,0,0,0,
2,1,219,CS,3,4,5,6,0,0,0,0,
2,2,220,CS,3,4,5,6,1,0,0,0,
2,3,221,P.23,2,3,4,4,1,0,0,0,bvn bac alt
2,4,222,P.6,,,,,0,0,0,1,
2,5,223,P.24,3,3,4,4,0,0,0,0,bac bvn
2,6,224,P.28,1,2,3,4,0,0,0,0,bac phoma
2,7,225,P.20,2,3,4,4,0,0,0,0,bac alt phoma
2,8,226,P.16,1,1,3,3,1,1,0,0,bac yellows
2,9,227,P.1,,,,,0,0,0,1,
2,10,228,P.18,2,3,4,4,0,0,0,0,bac alt
3,1,319,CS,4,4,5,6,0,0,0,0,
3,2,320,CS,3,4,4,6,0,0,0,0,
3,3,321,221,2,4,5,5,0,0,0,0,bac
3,4,322,Pc.1,3,4,4,4,0,0,0,0,bac phoma
3,5,323,Pc.1,3,4,4,4,0,0,0,0,bac phoma
3,6,324,P.21,2,2,4,4,0,1,0,0,bvn
3,7,325,P.2,,,,,0,0,0,1,
3,8,326,P.11,2,3,4,4,0,0,0,0,bac
3,9,327,Pc.4,3,3,4,4,0,0,0,0,bac phoma
3,10,328,Pc.4,3,3,4,4,0,0,0,0,bac phoma
4,1,419,CS,4,4,5,6,0,0,0,0,
4,2,420,CS,4,4,5,6,0,0,0,0,
4,3,421,P.8,3,3,3,5,0,0,0,0,bac alt
4,4,422,P.26,2,4,4,4,0,0,0,0,bac
4,5,423,P.19,3,3,4,5,0,0,0,0,bac
4,6,424,P.22,2,2,3,4,0,0,0,0,bac alt yellows
4,7,425,P.14,1,2,3,4,0,0,0,0,bac phoma yellows
4,8,426,218,1,1,2,4,0,1,0,0,bac
4,9,427,P.17,1,2,4,4,0,0,0,0,bac
4,10,428,P.4,,,,,0,0,0,1,
5,1,519,CS,4,4,5,6,0,0,0,0,
5,2,520,CS,3,4,5,6,0,0,0,0,
5,3,521,P.10,2,2,4,4,1,0,0,0,bac
5,4,522,P.13,1,1,2,3,0,0,0,0,
5,5,523,P.27,3,3,4,5,0,1,0,0,bac alt
5,6,524,P.15,3,2,3,4,0,1,0,0,bac
5,7,525,P.25,3,3,4,5,0,0,0,0,bac alt
5,8,526,P.7,2,3,4,4,0,0,0,0,bac alt
5,9,527,P.9,2,2,3,4,0,1,0,0,bac bvn
5,10,528,P.12,2,3,4,4,0,0,0,0,bac
6,1,619,CS,4,5,6,6,0,0,0,0,
6,2,620,CS,3,4,5,6,0,0,0,0,
6,3,621,P.3,2,2,4,4,0,1,0,0,bac
6,4,622,P.29,4,4,4,5,0,0,0,0,
6,5,623,Pc.3,4,4,4,4,0,0,0,0,bac alt
6,6,624,Pc.3,4,4,4,4,0,0,0,0,bac bvn
6,7,625,P.30,5,5,6,7,0,0,0,0,
6,8,626,P.5,3,4,4,5,0,0,0,0,bac
6,9,627,Pc.2,3,4,4,4,0,0,0,0,bac bvn
6,10,628,Pc.2,2,3,4,4,0,0,0,0,bac bvn
7,1,719,CS,3,4,5,6,0,0,0,0,
7,2,720,CS,3,4,5,6,0,0,0,0,alt
7,3,721,P.8,2,3,4,4,0,0,0,0,lb
7,4,722,P.10,2,3,3,4,0,0,0,0,bac
7,5,723,P.22,2,2,3,4,0,0,0,0,bac
7,6,724,P.23,2,3,4,4,0,0,0,0,bac
7,7,725,P.6,,,,,0,0,0,1,
7,8,726,P.11,2,3,3,4,0,0,0,0,bac
7,9,727,P.2,,,,,0,0,0,1,
7,10,728,P.26,2,2,3,4,0,0,0,0,
8,1,819,CS,4,4,6,6,0,0,0,0,
8,2,820,CS,3,4,5,6,0,0,0,0,
8,3,821,218,1,2,3,3,0,0,0,0,bac
8,4,822,P.3,3,3,3,5,0,1,0,0,bac
8,5,823,P.15,2,2,2,4,0,1,0,0,bac
8,6,824,Pc.3,3,4,4,4,0,0,0,0,bac alt
8,7,825,Pc.3,3,4,4,4,0,0,0,0,bac
8,8,826,P.17,3,3,4,4,0,0,0,0,bac aph
8,9,827,P.12,2,2,4,4,0,0,0,0,bac
8,10,828,P.18,3,3,4,5,0,0,0,0,bac
9,1,919,CS,4,4,5,6,0,0,0,0,
9,2,920,CS,4,4,5,6,0,0,0,0,
9,3,921,Pc.1,3,3,4,4,0,0,0,0,bac
9,4,922,Pc.1,2,4,4,4,0,0,0,0,bac
9,5,923,P.5,2,2,3,3,0,0,0,0,bac
9,6,924,P.14,2,3,3,4,0,0,0,0,bac alt
9,7,925,P.29,4,5,5,5,0,0,1,0,
9,8,926,P.21,2,3,4,4,0,0,0,0,bac
9,9,927,Pc.4,3,4,4,4,0,0,0,0,bac
9,10,928,Pc.4,3,4,4,5,0,0,0,0,bac
10,1,1019,CS,4,4,6,6,0,0,0,0,
10,2,1020,CS,4,4,6,6,0,0,0,0,
